"","health_zone","dps","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","hz_snis_cleaned","hz_pnlt"
"175","kambala","ituri","Province Oriental","278","Kambala","Komanda","it Ituri Province","it Kambala Zone de Santé","kambala","ituri","kambala","komanda"
"176","kambove","haut-katanga","Katanga","112","Kambove","Kambove","hk Haut Katanga Province","hk Kambove Zone de Santé","kambove","haut-katanga","kambove","kambove"
"177","kamiji","lomami","Kasai Oriental","79","Kamiji","Kamiji","lm Lomami Province","lm Kamiji Zone de Santé","kamji","lomami","kamiji","kamiji"
"178","kamina","haut-lomami","Katanga","346","Kamina","Kamina","hl Haut Lomami Province","hl Kamina Zone de Santé","kamina","haut-lomami","kamina","kamina"
"179","kamina-base","haut-lomami","Katanga","495","Kamina Base","Baka","hl Haut Lomami Province","hl Baka Zone de Santé","baka","haut-lomami","baka","baka"
"180","kamituga","sud-kivu","Sud Kivu","368","Kamituga","Kamituga","sk Sud Kivu Province","sk Kamituga Zone de Santé","kamituga","sud kivu","kamituga",NA
"181","kamonya","kasai","Kasai Occidental","9","Kamonya","Kamonia","ks Kasai Province","ks Kamonia Zone de Santé","kamonia","kasai","kamonia","kamonia"
"182","kampemba","haut-katanga","Haut Katanga","512","Kampemba","NA","hk Haut Katanga Province","hk Kampemba Zone de Santé","kampemba","haut-katanga","kampemba","kampemba"
"183","kampene","maniema","Maniema","376","Kampene","Kampene","mn Maniema Province","mn Kampene Zone de Santé","kampene","maniema","kampene","kampene"
"184","kamwesha","kasai","Kasai Occidental","22","Kamwesha","Kamuesha","ks Kasai Province","ks Kamwesha Zone de Santé","kamwesha","kasai","kamwesha","kamuesha"
"185","kananga","kasai-central","Kasai Occidental","288","Kananga","Kananga","kr Kasai Central Province","kr Kananga Zone de Santé","kananga","kasai central","kananga","kananga"
"186","kandakanda","lomami","Kasai Oriental","85","Kandakanda","Kanda Kanda","lm Lomami Province","lm Kanda Kanda Zone de Santé","kanda kanda","lomami","kanda-kanda","kanda-kanda"
"187","kandutu","sud-kivu","Sud Kivu","233","Kandutu","Kadutu","sk Sud Kivu Province","sk Kadutu Zone de Santé","kadutu","sud kivu","kadutu",NA
"188","kangu","kongo-central","Bas-Congo","413","Kangu","Kangu","kc Kongo Central Province","kc Kangu Zone de Santé","kangu","bas congo","kangu","kangu"
"189","kaniama","haut-lomami","Katanga","337","Kaniama","Kaniama","hl Haut Lomami Province","hl Kaniama Zone de Santé","kanyama","haut-lomami","kaniama","kaniama"
"190","kaniola","sud-kivu","Sud Kivu","361","Kaniola","Kaniola","sk Sud Kivu Province","sk Kaniola Zone de Santé","kaniola","sud kivu","kaniola",NA
"191","kansele","kasai-oriental","Kasai Oriental","71","Kansele","Kansele","ke Kasai Oriental Province","ke Kansele Zone de Santé","kansele","kasai oriental","kansele","kansele"
"192","kanzala","kasai","Kasai Occidental","284","Kanzala","Kanzala","ks Kasai Province","ks Kanzala Zone de Santé","kanzala","kasai","kanzala","kanzala"
"193","kanzenze","lualaba","Katanga","485","Kanzenze","Kanzenze","ll Lualaba Province","ll Kanzenze Zone de Santé","kanzenze","lualaba","kanzenze","kanzenze"
"194","kapanga","lualaba","Katanga","486","Kapanga","Kapanga","ll Lualaba Province","ll Kapanga Zone de Santé","kapanga","lualaba","kapanga","kapanga"
"195","kapolobwe","haut-katanga","Katanga","351","Kapolobwe","Kapolowe","hk Haut Katanga Province","hk Kapolowe Zone de Santé","kapolowe","haut-katanga","kapolowe","kapolowe"
"196","karawa","nord-ubangi","Equateur","319","Karawa","Karawa","nu Nord Ubangi Province","nu Karawa Zone de Santé","karawa","nord ubangi","karawa","karawa"
"197","karisimbi","nord-kivu","Nord Kivu","503","Karisimbi","Karisimbi","nk Nord Kivu Province","nk Karisimbi Zone de Santé","karisimbi","nord kivu","karisimbi",NA
"198","kasa-vubu","kinshasa","Kinshasa","268","Kasa_Vubu","Kasa-Vubu","kn Kinshasa Province","kn Kasa Vubu Zone de Santé","kasa vub","kinshasa","kasa-vubu","kasa-vubu"
"199","kasaji","lualaba","Katanga","487","Kasaji","Kasaji","ll Lualaba Province","ll Kasaji Zone de Santé","kasaji","lualaba","kasaji","kasaji"
"200","kasansa","kasai-oriental","Kasai Oriental","83","Kasansa","Kasansa","ke Kasai Oriental Province","ke Kasansa Zone de Santé","kasansa","kasai oriental","kasansa","kasansa"
"201","kasenga","haut-katanga","Katanga","446","Kasenga","Kasenga","hk Haut Katanga Province","hk Kasenga Zone de Santé","kasenga","haut-katanga","kasenga","kasenga"
"202","kashobwe","haut-katanga","NA","NA","NA","NA","hk Haut Katanga Province","hk Kashobwe Zone de Santé","kashobwe","haut-katanga","kashobwe","kashobwe"
"203","kasimba","tanganyika","Katanga","339","Kasimba","Kansimba","tn Tanganyika Province","tn Kansimba Zone de Santé","kansimba","tanganyika","kansimba","kansimba"
"204","kasongo","maniema","Maniema","356","Kasongo","Kasongo","mn Maniema Province","mn Kasongo Zone de Santé","kasongo","maniema","kasongo","kasongo"
"205","kasongo-lunda","kwango","Bandundu","407","Kasongo Lunda","Kasongolunda","kg Kwango Province","kg Kasongo Lunda Zone de Santé","kasongo lunda","kwango","kasongo-lunda","kasongo-lunda"
"206","katako-kombe","sankuru","Kasai Oriental","453","Katako Kombe","Katako-Kombe","sn Sankuru Province","sn Katako Kombe Zone de Santé","kata kokombe","sankuru","katako-kombe","zsr-katako-kombe"
"207","katana","sud-kivu","Sud Kivu","501","Katana","Katana","sk Sud Kivu Province","sk Katana Zone de Santé","katana","sud kivu","katana",NA
"208","katende","kasai-central","Kasai Occidental","32","Katende","Katende","kr Kasai Central Province","kr Katende Zone de Santé","katende","kasai central","katende","katende"
"209","katoka","kasai-central","Kasai Occidental","286","Katoka","Katoka","kr Kasai Central Province","kr Katoka Zone de Santé","katoka","kasai central","katoka","katoka"
"210","katuba","haut-katanga","Haut Katanga","507","Katuba","NA","hk Haut Katanga Province","hk Katuba Zone de Santé","katuba","haut-katanga","katuba","katuba"
"211","katwa","nord-kivu","Nord Kivu","61","Katwa","Katwa","nk Nord Kivu Province","nk Katwa Zone de Santé","katwa","nord kivu","katwa",NA
"212","kayamba","haut-lomami","Katanga","474","Kayamba","Kayamba","hl Haut Lomami Province","hl Kayamba Zone de Santé","kayamba","haut-lomami","kayamba","kayamba"
"213","kayna","nord-kivu","Nord Kivu","63","Kayna","Kayna","nk Nord Kivu Province","nk Kayna Zone de Santé","kayna","nord kivu","kayna",NA
"214","kaziba","sud-kivu","Sud Kivu","193","Kaziba","Kaziba","sk Sud Kivu Province","sk Kaziba Zone de Santé","kaziba","sud kivu","kaziba",NA
"215","kenge","kwango","Bandundu","159","Kenge","Kenge","kg Kwango Province","kg Kenge Zone de Santé","kenge","kwango","kenge","kenge"
"216","kenya","haut-katanga","Haut Katanga","508","Kenya","NA","hk Haut Katanga Province","hk Kenya Zone de Santé","kenya","haut-katanga","kenya","kenya"
"217","kiambi","tanganyika","Katanga","348","Kiambi","Kiambi","tn Tanganyika Province","tn Kiambi Zone de Santé","kiyambi","tanganyika","kiambi","kiambi"
"218","kibirizi","nord-kivu","Nord Kivu","55","Kibirizi","NA","nk Nord Kivu Province","nk Kibirizi Zone de Santé","kibirizi","nord kivu","kibirizi",NA
"219","kibombo","maniema","Maniema","325","Kibombo","Kibombo","mn Maniema Province","mn Kibombo Zone de Santé","kibombo","maniema","kibombo","kibombo"
"220","kibua","nord-kivu","Nord Kivu","104","Kibua","NA","nk Nord Kivu Province","nk Kibua Zone de Santé","kibua","nord kivu","kibua",NA
"221","kibunzi","kongo-central","Bas-Congo","125","Kibunzi","Kibunzi","kc Kongo Central Province","kc Kibunzi Zone de Santé","kibunzi","bas congo","kibunzi","kibunzi"
"222","kikenda","kwango","Bandundu","406","Kikenda","Kitenda","kg Kwango Province","kg Kitenda Zone de Santé","kitenda","kwango","kitenda","kitenda"
"223","kikimi","kinshasa","Kinshasa","248","Kikimi","Kikimi","kn Kinshasa Province","kn Kikimi Zone de Santé","kikimi","kinshasa","kikimi","kikimi"
"224","kikongo","kwilu","Bandundu","273","Kikongo","Kikongo","kl Kwilu Province","kl Kikongo Zone de Santé","kikongo","kwilu","kikongo",NA
"225","kikula","haut-katanga","Katanga","350","Kikula","Kikula","hk Haut Katanga Province","hk Kikula Zone de Santé","kikula","haut-katanga","kikula","kikula"
"226","kikwit-nord","kwilu","NA","NA","NA","NA","kl Kwilu Province","kl Kikwit Nord Zone de Santé","kikwit nord","kwilu","kikwit-nord","kikwit-nord"
"227","kikwit-sud","kwilu","Bandundu","497","Kikwit-sud","Kikwit-sud","kl Kwilu Province","kl Kikwit Sud Zone de Santé","kikwit sud","kwilu","kikwit-sud","kikwit-nord"
"228","kikwit-sud","kwilu","Bandundu","497","Kikwit-sud","Kikwit-sud","kl Kwilu Province","kl Kikwit Sud Zone de Santé","kikwit sud","kwilu","kikwit-sud","kikwit-sud"
"229","kikwit-sud","kwilu","Bandundu","498","Kikwit-sud","Kikwit-Nord","kl Kwilu Province","kl Kikwit Sud Zone de Santé","kikwit sud","kwilu","kikwit-sud","kikwit-nord"
"230","kikwit-sud","kwilu","Bandundu","498","Kikwit-sud","Kikwit-Nord","kl Kwilu Province","kl Kikwit Sud Zone de Santé","kikwit sud","kwilu","kikwit-sud","kikwit-sud"
"231","kilela-balanda","haut-katanga","Katanga","484","Kilela Balanda","Kilela Balanda","hk Haut Katanga Province","hk Kilela Balanda Zone de Santé","kilela balanda","haut-katanga","kilela-balanda","kilela-balan"
"232","kilo","ituri","Province Oriental","229","Kilo","Kilo","it Ituri Province","it Kilo Zone de Santé","kilo","ituri","kilo","kilo"
"233","kilwa","haut-katanga","Katanga","345","Kilwa","Kilwa","hk Haut Katanga Province","hk Kilwa Zone de Santé","kilwa","haut-katanga","kilwa","kilwa"
"234","kimbanseke","kinshasa","Kinshasa","291","Kimbanseke","Kimbanseke","kn Kinshasa Province","kn Kimbanseke Zone de Santé","kimbanseke","kinshasa","kimbanseke","kimbanseke"
"235","kimbau","kwango","Bandundu","158","Kimbau","Kimbau","kg Kwango Province","kg Kimbao Zone de Santé","kimbao","kwango","kimbao","kimbau"
"236","kimbi-lulenge","sud-kivu","Sud Kivu","381","Kimbi Lulenge","Kimbi Lulenge","sk Sud Kivu Province","sk Kimbi Lulenge Zone de Santé","lulenge","sud kivu","kimbi-lulenge",NA
"237","kimpangu","kongo-central","Bas-Congo","127","Kimpangu","Kimpangu","kc Kongo Central Province","kc Kimpangu Zone de Santé","kimpangu","bas congo","kimpangu","kimpangu"
"238","kimpese","kongo-central","Bas-Congo","411","Kimpese","Kimpese","kc Kongo Central Province","kc Kimpese Zone de Santé","kimpese","bas congo","kimpese","kimpese"
"239","kimputu","kwilu","Bandundu","240","Kimputu","Kimputu","kl Kwilu Province","kl Kimputu Zone de Santé","kimputu","kwilu","kimputu","kimputu"
"240","kimvula","kongo-central","Bas-Congo","409","Kimvula","Kimvula","kc Kongo Central Province","kc Kimvula Zone de Santé","kimvula","bas congo","kimvula","kimvula"
"241","kinda","haut-lomami","Katanga","490","Kinda","Kinda","hl Haut Lomami Province","hl Kinda Zone de Santé","kinda","haut-lomami","kinda","kinda"
"242","kindu","maniema","Maniema","326","Kindu","Kindu","mn Maniema Province","mn Kindu Zone de Santé","kindu","maniema","kindu","kindu"
"243","kingabwa","kinshasa","Kinshasa","264","Kingabwa","Kingabwa","kn Kinshasa Province","kn Kingabwa Zone de Santé","kingabwa","kinshasa","kingabwa","kingabwa"
"244","kingandu","kwilu","Bandundu","146","Kingandu","Kingandu","kl Kwilu Province","kl Kingandu Zone de Santé","kingandu","kwilu","kingandu","kingandu"
"245","kingasani","kinshasa","Kinshasa","290","Kingasani","Kingasani","kn Kinshasa Province","kn Kingasani Zone de Santé","kingasani","kinshasa","kingasani","kingasani"
"246","kinkonja","haut-lomami","Katanga","342","Kinkonja","Kinkondja","hl Haut Lomami Province","hl Kinkondja Zone de Santé","kinkondja","haut-lomami","kinkondja","kinkondja"
"247","kinkonzi","kongo-central","Bas-Congo","415","Kinkonzi","Kinkonzi","kc Kongo Central Province","kc Kinkonzi Zone de Santé","kinkonzi","bas congo","kinkonzi","kinkonzi"
"248","kinshasa","kinshasa","Kinshasa","254","Kinshasa","Kinshasa","kn Kinshasa Province","kn Kinshasa Zone de Santé","kinshasa","kinshasa","kinshasa","kinshasa"
"249","kintambo","kinshasa","Kinshasa","267","Kintambo","Kintambo","kn Kinshasa Province","kn Kintambo Zone de Santé","kintambo","kinshasa","kintambo","kintambo"
"250","kipushi","haut-katanga","Katanga","481","Kipushi","Kipushi","hk Haut Katanga Province","hk Kipushi Zone de Santé","kipushi","haut-katanga","kipushi","kipushi"
"251","kiri","mai-ndombe","Bandundu","161","Kiri","Kiri","md Maindombe Province","md Kiri Zone de Santé","kiri","mai-ndombe","kiri","kiri"
"252","kirotse","nord-kivu","Nord Kivu","499","Kirotse","Kirotshe","nk Nord Kivu Province","nk Kirotshe Zone de Santé","kirotshe","nord kivu","kirotshe",NA
"253","kisandji","kwango","Bandundu","153","Kisandji","Kisanji","kg Kwango Province","kg Kisanji Zone de Santé","kisandji","kwango","kisanji","kisandji"
"254","kisanga","haut-katanga","Haut Katanga","514","Kisanga","NA","hk Haut Katanga Province","hk Kisanga Zone de Santé","kisanga","haut-katanga","kisanga","kisanga"
"255","kisantu","kongo-central","Bas-Congo","133","Kisantu","Kisantu","kc Kongo Central Province","kc Kisantu Zone de Santé","kisantu","bas congo","kisantu","kisantu"
"256","kisenso","kinshasa","Kinshasa","251","Kisenso","Kisenso","kn Kinshasa Province","kn Kisenso Zone de Santé","kisenso","kinshasa","kisenso","kisenso"
"257","kitangwa","kasai","Kasai Occidental","462","Kitangwa","Kitangwa","ks Kasai Province","ks Kitangwa Zone de Santé","kitangua","kasai","kitangwa","kitangua"
"258","kitenge","haut-lomami","Katanga","475","Kitenge","Kitenge","hl Haut Lomami Province","hl Kitenge Zone de Santé","kitenge","haut-lomami","kitenge","kitenge"
"259","kitona","kongo-central","Bas-Congo","116","Kitona","Kitona","kc Kongo Central Province","kc Kitona Zone de Santé","kitona","bas congo","kitona","kitona"
"260","kitutu","sud-kivu","Sud Kivu","367","Kitutu","Kitutu","sk Sud Kivu Province","sk Kitutu Zone de Santé","kitutu","sud kivu","kitutu",NA
"261","kizu","kongo-central","Bas-Congo","124","Kizu","Kizu","kc Kongo Central Province","kc Kizu Zone de Santé","kizu","bas congo","kizu","kizu"
"262","kokolo","kinshasa","Kinshasa","328","Kokolo","Kokolo","kn Kinshasa Province","kn Kokolo Zone de Santé","kokolo","kinshasa","kokolo","kokolo"
"263","kole","sankuru","Kasai Oriental","65","Kole","Kole","sn Sankuru Province","sn Kole Zone de Santé","kole","sankuru","kole","kole"
"264","komanda","ituri","Province Oriental","170","Komanda","Kambala","it Ituri Province","it Komanda Zone de Santé","komanda","ituri","komanda","kambala"
"265","komanda","ituri","Province Oriental","170","Komanda","Kambala","it Ituri Province","it Komanda Zone de Santé","komanda","ituri","komanda","komanda"
"266","kongolo","tanganyika","Katanga","464","Kongolo","Kongolo","tn Tanganyika Province","tn Kongolo Zone de Santé","kongolo","tanganyika","kongolo","kongolo"
"267","koshibanda","kwilu","Bandundu","145","Koshibanda","Koshibanda","kl Kwilu Province","kl Koshibanda Zone de Santé","koshibanda","kwilu","koshibanda","koshibanda"
"268","kowe","haut-katanga","Katanga","494","Kowe","Kowe","hk Haut Katanga Province","hk Kowe Zone de Santé","kowe","haut-katanga","kowe","kowe"
"269","kuimba","kongo-central","Bas-Congo","414","Kuimba","Kuimba","kc Kongo Central Province","kc Kuimba Zone de Santé","kwimba","bas congo","kuimba","kuimba"
"270","kunda","maniema","Maniema","357","Kunda","Kunda","mn Maniema Province","mn Kunda Zone de Santé","kunda","maniema","kunda","kunda"
"271","kungu","sud-ubangi","Equateur","294","Kungu","Kungu","su Sud Ubangi Province","su Kungu Zone de Santé","kungu","sud ubangi","kungu","kungu"
"272","kwamouth","mai-ndombe","Bandundu","419","Kwamouth","Kwamouth","md Maindombe Province","md Kwamouth Zone de Santé","kwamouth","mai-ndombe","kwamouth","kwamouth"
"273","kwilu-ngongo","kongo-central","Bas-Congo","132","Kwilu Ngongo","Kwilu-Ngongo","kc Kongo Central Province","kc Kwilu Ngongo Zone de Santé","kwilu ngongo","bas congo","kwilu-ngongo","kwilu-ngongo"
"274","kyondo","nord-kivu","Nord Kivu","44","Kyondo","Kyondo","nk Nord Kivu Province","nk Kyondo Zone de Santé","kyondo","nord kivu","kyondo",NA
"275","laybo","ituri","Province Oriental","444","Laybo","Laybo","it Ituri Province","it Laybo Zone de Santé","laybo","ituri","laybo","laybo"
"276","lemba","kinshasa","Kinshasa","249","Lemba","Lemba","kn Kinshasa Province","kn Lemba Zone de Santé","lemba","kinshasa","lemba","lemba"
"277","lemera","sud-kivu","Sud Kivu","374","Lemera","Lemera","sk Sud Kivu Province","sk Lemera Zone de Santé","lemera","sud kivu","lemera",NA
"278","libenge","sud-ubangi","Equateur","429","Libenge","Libenge","su Sud Ubangi Province","su Libenge Zone de Santé","libenge","sud ubangi","libenge","libenge"
"279","likasi","haut-katanga","Katanga","352","Likasi","Likasi","hk Haut Katanga Province","hk Likasi Zone de Santé","likasi","haut-katanga","likasi","likasi"
"280","likati","bas-uele","Province Oriental","387","Likati","Likati","bu Bas Uele Province","bu Likati Zone de Santé","likati","bas-uele","likati","likati"
"281","lilanga-bobangi","equateur","Equateur","426","lilanga Bobangi","Lilanga Bobanga","eq Equateur Province","eq Lilanga Bobangi Zone de Santé","lilanga bobanga","equateur","lilanga-bobangi","lilanga-bobangi"
"282","limeté","kinshasa","Kinshasa","255","Limeté","Limeté","kn Kinshasa Province","kn Limete Zone de Santé","limete","kinshasa","limete","limete"
"283","linga","ituri","Province Oriental","178","Linga","Linga","it Ituri Province","it Linga Zone de Santé","linga","ituri","linga","linga"
"284","lingomo","tshuapa","Equateur","396","Lingomo","Lingomo","tu Tshuapa Province","tu Lingomo Zone de Santé","lingomo","tshuapa","lingomo","lingomo"
"285","lingwala","kinshasa","Kinshasa","252","Lingwala","Lingwala","kn Kinshasa Province","kn Lingwala Zone de Santé","lingwala","kinshasa","lingwala","lingwala"
"286","lisala","mongala","Equateur","314","Lisala","Lisala","mg Mongala Province","mg Lisala Zone de Santé","lisala","mongala","lisala","lisala"
"287","lita","ituri","Province Oriental","174","Lita","Lita","it Ituri Province","it Lita Zone de Santé","lita","ituri","lita","lita"
"288","lodja","sankuru","Kasai Oriental","100","Lodja","Lodja","sn Sankuru Province","sn Lodja Zone de Santé","lodja","sankuru","lodja","lodja"
"289","logo","ituri","Province Oriental","281","Logo","Logo","it Ituri Province","it Logo Zone de Santé","logo","ituri","logo","logo"
"290","loko","nord-ubangi","Equateur","308","Loko","Loko","nu Nord Ubangi Province","nu Loko Zone de Santé","loko","nord ubangi","loko","loko"
"291","lolo","mongala","Equateur","389","Lolo","Lolo","mg Mongala Province","mg Lolo Zone de Santé","lolo","mongala","lolo","lolo"
"292","lolwa","ituri","Province Oriental","169","Lolwa","Lolwa","it Ituri Province","it Lolwa Zone de Santé","lolwa","ituri","lolwa","lolwa"
"293","lomela","sankuru","Kasai Oriental","452","Lomela","Lomela","sn Sankuru Province","sn Lomela Zone de Santé","lomela","sankuru","lomela","lomela"
"294","lotumbe","equateur","Equateur","301","Lotumbe","Lotumbe","eq Equateur Province","eq Lotumbe Zone de Santé","lotumbe","equateur","lotumbe","lotumbe"
"295","lowa","tshopo","Province Oriental","403","Lowa","Lowa","tp Tshopo Province","tp Lowa Zone de Santé","lowa","tshopo","lowa","lowa"
"296","lualaba","lualaba","Katanga","283","Lualaba","Lualaba","ll Lualaba Province","ll Lualaba Zone de Santé","lwalaba","lualaba","lualaba","lualaba"
"297","luambo","kasai-central","Kasai Occidental","12","Luambo","Luambo","kr Kasai Central Province","kr Luambo Zone de Santé","luambo","kasai central","luambo","luambo"
"298","lubao","lomami","Kasai Oriental","110","Lubao","Lubao","lm Lomami Province","lm Lubao Zone de Santé","lubao","lomami","lubao","lubao"
"299","lubero","nord-kivu","Nord Kivu","48","Lubero","Lubero","nk Nord Kivu Province","nk Lubero Zone de Santé","lubero","nord kivu","lubero",NA
"300","lubilanji","kasai-oriental","Kasai Oriental","69","Lubilanji","Lubilanji","ke Kasai Oriental Province","ke Lubilanji Zone de Santé","lubilanji","kasai oriental","lubilanji","lubilanji"
"301","lubondaie","kasai-central","Kasai Occidental","33","Lubondaie","Lubondayi","kr Kasai Central Province","kr Lubondaie Zone de Santé","lubondaie","kasai central","lubondaie","lubondayi"
"302","lubudi","lualaba","Katanga","469","Lubudi","Lubudi","ll Lualaba Province","ll Lubudi Zone de Santé","lubudi","lualaba","lubudi","lubudi"
"303","lubumbashi","haut-katanga","Haut Katanga","510","Lubumbashi","NA","hk Haut Katanga Province","hk Lubumbashi Zone de Santé","lubumbashi","haut-katanga","lubumbashi","lubumbashi"
"304","lubunga","kasai-central","Kasai Occidental","35","Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","lubunga","lubunga"
"305","lubunga","tshopo","Kasai Occidental","35","Lubunga","Lubunga","tp Tshopo Province","tp Lubunga Zone de Santé","lubunga","tshopo","lubunga","lubunga"
"306","lubunga","kasai-central","Province Oriental","332","Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","lubunga","lubunga"
"307","lubunga","tshopo","Province Oriental","332","Lubunga","Lubunga","tp Tshopo Province","tp Lubunga Zone de Santé","lubunga","tshopo","lubunga","lubunga"
"308","lubutu","maniema","Maniema","405","Lubutu","Lubutu","mn Maniema Province","mn Lubutu Zone de Santé","lubutu","maniema","lubutu","lubutu"
"309","ludimbi-lukula","lomami","NA","NA","NA","NA","lm Lomami Province","lm Ludimbi Lukula Zone de Santé","ludimbi lukula","lomami","ludimbi-lukula","ludimbi-lukula"
"310","luebo","kasai","Kasai Occidental","24","Luebo","Luebo","ks Kasai Province","ks Luebo Zone de Santé","luebo","kasai","luebo","luebo"
"311","luiza","kasai-central","Kasai Occidental","16","Luiza","Luiza","kr Kasai Central Province","kr Luiza Zone de Santé","luiza","kasai central","luiza","luiza"
"312","lukafu","haut-katanga","Katanga","343","Lukafu","Lukafu","hk Haut Katanga Province","hk Lukafu Zone de Santé","lukafu","haut-katanga","lukafu","lukafu"
"313","lukashi-lualu","NA","Kasai Oriental","91","Lukashi lualu","NA","NA","NA","NA","NA",NA,NA
"314","lukelenge","kasai-oriental","Kasai Oriental","72","Lukelenge","Lukalenge","ke Kasai Oriental Province","ke Lukelenge Zone de Santé","lukelenge","kasai oriental","lukelenge","lukalenge"
"315","lukolela","equateur","Equateur","423","Lukolela","Lukolela","eq Equateur Province","eq Lukolela Zone de Santé","lukolela","equateur","lukolela","lukolela"
"316","lukonga","kasai-central","Kasai Occidental","287","Lukonga","Lukonga","kr Kasai Central Province","kr Lukonga Zone de Santé","lukonga","kasai central","lukonga","lukonga"
"317","lukula","kongo-central","Bas-Congo","121","Lukula","Lukula","kc Kongo Central Province","kc Lukula Zone de Santé","lukula","bas congo","lukula","lukula"
"318","lulingu","sud-kivu","Sud Kivu","448","Lulingu","Lulingu","sk Sud Kivu Province","sk Lulingu Zone de Santé","lulingu","sud kivu","lulingu",NA
"319","luozi","kongo-central","Bas-Congo","126","Luozi","Luozi","kc Kongo Central Province","kc Luozi Zone de Santé","luozi","bas congo","luozi","luozi"
"320","luputa","lomami","Kasai Oriental","77","Luputa","Luputa","lm Lomami Province","lm Luputa Zone de Santé","luputa","lomami","luputa","luputa"
"321","lusambo","sankuru","Kasai Oriental","97","Lusambo","Lusambo","sn Sankuru Province","sn Lusambo Zone de Santé","lusambo","sankuru","lusambo","lusambo"
"322","lusanga","kwilu","Bandundu","496","Lusanga","Lusanga","kl Kwilu Province","kl Lusanga Zone de Santé","lusanga","kwilu","lusanga","lusanga"
"323","lusangi","maniema","Maniema","358","Lusangi","Lusangi","mn Maniema Province","mn Lusangi Zone de Santé","lusangi","maniema","lusangi","lusangi"
"324","lwamba","haut-lomami","Katanga","478","Lwamba","Lwamba","hl Haut Lomami Province","hl Lwamba Zone de Santé","lwamba","haut-lomami","lwamba","lwamba"
"325","mabalako","nord-kivu","Nord Kivu","45","Mabalako","NA","nk Nord Kivu Province","nk Mabalako Zone de Santé","mabalako","nord kivu","mabalako",NA
"326","mahagi","ituri","Province Oriental","177","Mahagi","Mahagi","it Ituri Province","it Mahagi Zone de Santé","mahagi","ituri","mahagi","mahagi"
"327","makala","kinshasa","Kinshasa","259","Makala","Makala","kn Kinshasa Province","kn Makala Zone de Santé","makala","kinshasa","makala","makala"
"328","makiso-kisangani","tshopo","Province Oriental","331","Makiso Kisangani","Makiso-Kisangani","tp Tshopo Province","tp Makiso Kisangani Zone de Santé","makiso k","tshopo","makiso-kisangani","makiso-kis"
"329","makoro","haut-uele","Province Oriental","443","Makoro","Makoro","hu Haut Uele Province","hu Makoro Zone de Santé","makoro","haut-uele","makoro","makoro"
"330","makota","lomami","Kasai Oriental","42","Makota","Makota","lm Lomami Province","lm Makota Zone de Santé","makota","lomami","makota","makota"
"331","malemba-nkulu","haut-lomami","Katanga","480","Malemba Nkulu","Malemba-Nkulu","hl Haut Lomami Province","hl Malemba Nkulu Zone de Santé","malemba nkulu","haut-lomami","malemba-nkulu","malemba"
"332","maluku-i","kinshasa","Kinshasa","272","Maluku I","Maluku I","kn Kinshasa Province","kn Maluku 1 Zone de Santé","maluku1","kinshasa","maluku-1","maluku-i"
"333","maluku-ii","kinshasa","Kinshasa","410","Maluku II","Maluku II","kn Kinshasa Province","kn Maluku 2 Zone de Santé","maluku2","kinshasa","maluku-2","maluku-ii"
"334","mambasa","ituri","Province Oriental","226","Mambasa","Mambasa","it Ituri Province","it Mambasa Zone de Santé","mambasa","ituri","mambasa","mambasa"
"335","mampoko","equateur","Equateur","295","Mampoko","Lolanga Mampoko","eq Equateur Province","eq Mampoko Zone de Santé","lolanga mampoko","equateur","mampoko","lolanga-mampoko"
"336","mandima","ituri","Province Oriental","168","Mandima","Mandima","it Ituri Province","it Mandima Zone de Santé","mandima","ituri","mandima","mandima"
"337","mangala","ituri","Province Oriental","183","Mangala","Mangala","it Ituri Province","it Mangala Zone de Santé","mangala","ituri","mangala","mangala"
"338","mangembo","kongo-central","Bas-Congo","416","Mangembo","Mangembo","kc Kongo Central Province","kc Mangembo Zone de Santé","mangembo","bas congo","mangembo","mangembo"
"339","mangobo","tshopo","Province Oriental","333","Mangobo","Mangobo","tp Tshopo Province","tp Mangobo Zone de Santé","mangobo","tshopo","mangobo","mangobo"
"340","manguredj","0","NA","NA","NA","NA","NA","NA","manguredj","0",NA,NA
"341","manguredjipa","nord-kivu","Nord Kivu","49","Manguredjipa","Manguredjipa","nk Nord Kivu Province","nk Manguredjipa Zone de Santé","mangupa","nord kivu","manguredjipa",NA
"342","manika","lualaba","Katanga","492","Manika","Manika","ll Lualaba Province","ll Manika Zone de Santé","manika","lualaba","manika","manika"
"343","mankanza","equateur","Equateur","313","Mankanza","Makanza","eq Equateur Province","eq Makanza Zone de Santé","makanza","equateur","makanza","mankanza"
"344","manono","tanganyika","Katanga","349","Manono","Manono","tn Tanganyika Province","tn Manono Zone de Santé","manono","tanganyika","manono","manono"
"345","masereka","nord-kivu","Nord Kivu","47","Masereka","Masereka","nk Nord Kivu Province","nk Masereka Zone de Santé","masereka","nord kivu","masereka",NA
"346","masi-manimba","kwilu","Bandundu","141","Masi Manimba","Masi-manimba","kl Kwilu Province","kl Masi Manimba Zone de Santé","masimanimba","kwilu","masi-manimba","masi-manimba"
