"","region","centre","type","annee","trimestre","tpm_fp_nc","tpm_fp_em","tpm_fp_ef","tpm_fp_am","tpm_fp_af","tpm_fp_ nc_m","tpm_fp_nc_f","tpm_rech","tpm_rech_em","tpm_rech_ef","tpm_rech_am","tpm_rech_af","tpm_rech_m","tpm_rech_m2","tpm_ret","tpm_ret_em","tpm_ret_ef","tpm_ret_am","tpm_ret_af","tpm_ret_m","tpm_ret_f","tmp_fn","tmp_fn_e","tmp_fn_a","tmp_fn_m","tmp_fn_f","tmp_fn_nf","tmp_fn_nf_e","tmp_fn_nf_a","tmp_fn_nf_m","tmp_fn_nf_f","tep_nc","tep_nc_e","tep_nc_a","tep_nc_m","tep_nc_f","cas_aut","cas_aut_enf","cas_aut_adu","cas_aut_m","cas_aut_f","tb_tfc","tb_tfc_enf","tb_tfc_enf_m","tb_tfc_enf_f","tb_tfc_a","tb_tfc_am","tb_tfc_af","tb_tfc_m","tb_tfc_f","tb_vih","tb_vih_m","tb_vih_f","vih_tb","vih_tb_m","vih_tb_f","tb_vih2","tb_vih_m2","tb_vih_f2","tb_vih_cotrim","tb_vih_cotrim_m","tb_vih_contrim_f","tb_vih_arv","tb_vih_arv_m","tb_vih_arv_f","ntr_rhz","ntr_erhz","ntr_serhz","ntr_cpx","cas_enf_genexpert","cas_enf_confirme","cas_enf_res","cas_adul_genexpert","cas_adul_confirme","cas_adul_res","tot_genexpert","tot_confirme","tot_res","pop","tpm_plus_attendus","tpm_plus_tauxdet","tbtot_cas_atendu","tbtot_taux_det","tbtot_nc_annee","gueris_total","gueris_taux","trait_tot","trait_pc","deces_total","deces_pc","echec_tot","echec_pc","abandon_tot","pdv_pc","noneval_tot","noneval_pc","eval_tot","eval_pc","com_cause","com_mobsoc","com_radio","com_vad_touss","com_vad_irr","com_vad_pdv","com_nom_touss","com_tpm_diag","com_det_ttf","com_enf_ref","com_suivis","struct_micros_pc","struct_xray_pc","struct_tbmedprem_pc","struct_tbstrepto_pc","perf_lab","pauvrety","retr_tarv","retr_tbvih","retr_vihantitb","retr_cotrimox","tpm_chimio_enf","tpm_chimio_pvvih","tb_diag_nc","tb_diag_nc_b","tb_diag_rech","tb_diag_rech_b","dur_rupt1","dur_rupt2","dur_rupt3","exstock1","exstock2","vad_tot","ntr_all","tbvih_arvtx_rate"
"376","DAKAR","Rufisque","DISTRICT",2015,3,89,3,0,53,33,56,33,5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,4,0,4,NA,NA,9,4,5,NA,NA,16,5,11,NA,NA,0,0,0,NA,NA,128,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,8,112,10,10,0,0,0,4,4,0,4,4,0,372535,102,0.87,127,1.01,87,61,0.7,7,0.08,3,0.03,1,0.01,13,0.15,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,1,1,20,NA,27,30,1817,3592,7,7,NA,NA,NA,NA,NA,NA,130,1
"377","DAKAR","Diameniadio","DISTRICT",2015,3,37,1,1,24,11,25,12,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,1,6,NA,NA,0,0,0,NA,NA,4,1,3,NA,NA,4,0,4,NA,NA,53,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,45,1,5,1,0,0,5,3,0,6,3,0,151668,42,0.89,52,1.03,41,36,0.88,0,0,0,0,0,0,4,0.1,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,0.98,0.025,NA,NA,11,NA,90,60,740,1248,45,NA,NA,NA,NA,NA,NA,NA,49,NA
"378","DAKAR","Dkr-centre","DISTRICT",2015,4,119,0,1,90,28,90,29,5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,4,0,4,NA,NA,0,0,0,NA,NA,13,1,12,NA,NA,1,1,0,NA,NA,145,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,1,135,9,24,1,0,0,20,8,0,21,8,0,346805,95,1.25,118,1.23,92,88,0.96,0,0,3,0.03,1,0.01,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,2,2,43,2,116,2,1598,2794,NA,NA,NA,NA,NA,NA,NA,NA,145,1
"379","DAKAR","Dkr-nord","DISTRICT",2015,4,161,1,3,159,59,160,62,18,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,10,2,8,NA,NA,1,0,1,NA,NA,26,0,26,NA,NA,2,0,2,NA,NA,222,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,8,NA,NA,14,NA,NA,14,NA,NA,14,NA,NA,2,202,24,65,0,0,0,24,22,0,24,22,0,467135,128,1.25,159,1.4,130,114,0.88,8,0.06,1,0.01,1,0.01,6,0.05,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,0.99,0.025,NA,NA,59,NA,195,28,2142,3697,NA,2,NA,NA,NA,NA,NA,NA,228,1
"380","DAKAR","Dkr-ouest","DISTRICT",2015,4,69,1,0,63,23,64,23,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,1,4,NA,NA,0,0,0,NA,NA,10,0,10,NA,NA,0,0,0,NA,NA,87,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,1,83,3,33,2,0,0,2,2,0,4,2,0,225100,62,1.11,77,1.14,60,51,0.85,1,0.02,3,0.05,0,0,5,0.08,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,0.99,0.025,NA,NA,22,NA,135,NA,1596,2518,NA,NA,NA,NA,NA,NA,NA,NA,87,1
"381","DAKAR","Dkr-sud","DISTRICT",2015,4,98,0,1,79,18,79,19,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,4,4,0,NA,NA,11,0,11,NA,NA,0,0,0,NA,NA,120,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,4,110,6,7,0,0,0,8,6,0,8,6,0,181776,50,1.96,62,1.94,87,68,0.78,2,0.02,1,0.01,4,0.05,9,0.1,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,NA,NA,36,NA,45,21,1630,2476,NA,NA,NA,NA,NA,NA,NA,NA,120,1
"382","DAKAR","Guédiawaye","DISTRICT",2015,4,108,0,2,80,26,80,28,16,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,14,0,14,NA,NA,1,1,0,NA,NA,16,4,12,NA,NA,0,0,0,NA,NA,158,7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,5,133,19,62,0,0,0,21,16,0,21,16,0,355525,98,1.1,121,1.31,99,84,0.85,4,0.04,2,0.02,0,0,4,0.04,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,7,7,72,7,400,19,2235,3205,28,NA,NA,NA,NA,NA,NA,NA,157,1
"383","DAKAR","HEAR","HOPITAL",2015,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"384","DAKAR","H,Fann M Infect","HOPITAL",2015,4,15,0,0,11,4,11,4,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,9,0,9,NA,NA,0,0,0,NA,NA,42,0,42,NA,NA,3,0,3,NA,NA,72,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,25,NA,NA,32,NA,NA,32,NA,NA,30,NA,NA,0,66,6,0,0,0,0,57,8,0,57,8,0,NA,NA,NA,NA,NA,14,7,0.5,1,0.07,6,0.43,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,0.9375
"385","DAKAR","HALD","HOPITAL",2015,4,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,0,0,0,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"386","DAKAR","HOGGY","HOPITAL",2015,4,8,0,0,4,4,4,4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,16,1,15,NA,NA,1,0,1,NA,NA,26,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,26,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8,8,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1
"387","DAKAR","HPD","HOPITAL",2015,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"388","DAKAR","Mbao","DISTRICT",2015,4,82,5,1,78,26,83,27,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,1,1,NA,NA,12,2,10,NA,NA,4,1,3,NA,NA,110,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,3,101,9,13,0,0,0,20,20,0,20,20,0,366422,101,0.81,125,0.88,96,88,0.92,0,0,2,0.02,4,0.04,2,0.02,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,NA,NA,40,NA,27,7,2666,5361,2,2,NA,NA,NA,13,28,NA,113,1
"389","DAKAR","Pikine","DISTRICT",2015,4,143,1,1,138,51,139,52,12,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,11,0,11,NA,NA,6,1,5,NA,NA,6,0,6,NA,NA,4,0,4,NA,NA,191,3,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,8,NA,NA,15,NA,NA,15,NA,NA,15,NA,NA,2,165,24,98,1,1,0,27,27,0,28,28,0,351117,97,1.48,119,1.6,120,103,0.86,10,0.08,0,0,1,0.01,6,0.05,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,0.99,0.025,2,4,90,4,258,20,1919,1709,87,87,NA,NA,NA,NA,NA,NA,191,1
"390","DAKAR","Keur Massar","DISTRICT",2015,4,166,2,4,146,67,148,71,10,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,8,0,8,NA,NA,0,0,0,NA,NA,25,3,22,NA,NA,1,0,1,NA,NA,219,9,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,4,201,20,118,4,1,0,30,30,1,34,31,1,533202,147,1.13,181,1.21,131,114,0.87,9,0.07,0,0,1,0.01,4,0.03,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,2,2,44,2,401,88,1863,3728,NA,NA,NA,NA,NA,NA,NA,NA,225,1
"391","DAKAR","Rufisque","DISTRICT",2015,4,56,2,3,43,18,45,21,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,0,3,NA,NA,1,1,0,NA,NA,2,1,1,NA,NA,0,0,0,NA,NA,66,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,4,131,16,0,0,0,0,9,8,1,9,8,1,372535,102,0.55,127,0.52,88,66,0.75,6,0.07,1,0.01,1,0.01,12,0.14,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,1,0.025,1,1,20,NA,27,30,1817,3592,7,7,NA,NA,NA,NA,NA,NA,151,1
"392","DAKAR","Diameniadio","DISTRICT",2015,4,37,2,2,34,11,36,13,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,1,1,0,NA,NA,4,2,2,NA,NA,0,0,0,NA,NA,49,8,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,41,4,8,0,0,0,8,1,0,8,1,0,151668,42,0.89,52,0.95,40,39,0.98,0,0,0,0,0,0,0,0,NA,NA,NA,NA,383,61,2,13817,NA,NA,302,47,NA,13,3,0.16,0.03,0.45,0.22,0.98,0.025,NA,NA,11,NA,90,60,740,1248,45,NA,NA,NA,NA,NA,NA,NA,49,NA
"393","DIOURBEL","Bambey","DISTRICT",2015,1,32,2,0,19,11,21,11,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,8,0,8,NA,NA,0,0,0,NA,NA,2,0,2,NA,NA,0,0,0,NA,NA,47,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,40,5,45,0,0,0,0,0,0,0,0,0,319013,88,0.36,108,0.43,50,45,0.9,0,0,2,0.04,0,0,3,0.06,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,13,NA,97,2,372,737,7,5,NA,NA,13,NA,NA,NA,47,NA
"394","DIOURBEL","Diourbel","DISTRICT",2015,1,51,1,0,31,19,32,19,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,1,6,NA,NA,0,0,0,NA,NA,11,2,9,NA,NA,0,0,0,NA,NA,73,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,4,68,4,113,0,0,0,0,0,0,0,0,0,275991,76,0.67,94,0.78,34,29,0.85,0,0,2,0.06,2,0.06,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,0.98,0.278,NA,NA,5,NA,282,NA,1089,2178,1,2,NA,NA,27,NA,NA,NA,76,1
"395","DIOURBEL","Mbacké","DISTRICT",2015,1,21,1,0,17,3,18,3,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,7,1,6,NA,NA,0,0,0,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,32,3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,26,3,13,0,0,0,0,0,0,0,0,0,156541,43,0.49,53,0.6,19,17,0.89,0,0,1,0.05,0,0,1,0.05,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,12,NA,64,87,836,1673,17,9,NA,NA,NA,NA,NA,NA,31,1
"396","DIOURBEL","Touba","DISTRICT",2015,1,102,1,0,63,38,64,38,6,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,36,1,35,NA,NA,9,1,8,NA,NA,32,2,30,NA,NA,1,0,1,NA,NA,192,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,4,175,13,75,0,0,0,0,0,0,0,0,0,824976,227,0.45,280,0.68,101,87,0.86,2,0.02,2,0.02,5,0.05,4,0.04,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,16,NA,252,393,2122,3627,6,5,NA,NA,7,17,13,NA,192,1
"397","DIOURBEL","Bambey","DISTRICT",2015,2,32,0,0,24,8,24,8,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,0,7,NA,NA,0,0,0,NA,NA,10,1,9,NA,NA,1,0,1,NA,NA,52,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,0,50,3,16,0,0,0,0,0,0,0,0,0,319013,88,0.36,108,0.48,30,24,0.8,0,0,3,0.1,0,0,3,0.1,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,13,NA,97,2,372,737,7,5,NA,NA,13,NA,NA,NA,53,1
"398","DIOURBEL","Diourbel","DISTRICT",2015,2,35,0,1,25,9,25,10,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,1,5,NA,NA,0,0,0,NA,NA,11,0,11,NA,NA,1,0,1,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,1,52,2,88,0,0,0,0,0,0,0,0,0,275991,76,0.46,94,0.58,40,40,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,0.98,0.278,NA,NA,5,NA,282,NA,1089,2178,1,2,NA,NA,27,NA,NA,NA,55,1
"399","DIOURBEL","Mbacké","DISTRICT",2015,2,28,0,1,23,4,23,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,0,0,0,NA,NA,3,0,3,NA,NA,0,0,0,NA,NA,34,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,0,35,1,19,0,0,0,0,0,0,0,0,0,156541,43,0.65,53,0.64,37,36,0.97,0,0,1,0.03,0,0,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,12,NA,64,87,836,1673,17,9,NA,NA,NA,NA,NA,NA,36,1
"400","DIOURBEL","Touba","DISTRICT",2015,2,102,3,0,73,26,76,26,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,29,2,27,NA,NA,4,2,2,NA,NA,49,2,47,NA,NA,1,0,1,NA,NA,192,9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,7,177,8,57,0,0,0,0,0,0,0,0,0,824976,227,0.45,280,0.68,109,86,0.79,6,0.06,1,0.01,6,0.06,10,0.09,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,16,NA,252,393,2122,3627,6,5,NA,NA,7,17,13,NA,192,1
"401","DIOURBEL","Bambey","DISTRICT",2015,3,42,0,1,36,5,36,6,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,0,5,NA,NA,0,0,0,NA,NA,6,0,6,NA,NA,5,3,2,NA,NA,60,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,3,53,5,13,1,0,0,3,2,1,4,2,1,319013,88,0.48,108,0.55,47,36,0.77,0,0,4,0.09,0,0,7,0.15,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,13,NA,97,2,372,737,7,5,NA,NA,13,NA,NA,NA,61,1
"402","DIOURBEL","Diourbel","DISTRICT",2015,3,45,1,2,29,13,30,15,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,1,12,NA,NA,0,0,0,NA,NA,7,4,3,NA,NA,2,0,2,NA,NA,68,8,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,5,61,3,81,3,3,0,3,1,0,6,4,0,275991,76,0.59,94,0.72,34,34,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,0.98,0.278,NA,NA,5,NA,282,NA,1089,2178,1,2,NA,NA,27,NA,NA,NA,69,1
"403","DIOURBEL","Mbacké","DISTRICT",2015,3,28,0,0,20,8,20,8,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,0,3,NA,NA,0,0,0,NA,NA,6,0,6,NA,NA,0,0,0,NA,NA,42,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,39,0,5,18,3,0,0,5,5,0,8,5,0,156541,43,0.65,53,0.79,17,16,0.94,0,0,0,0,0,0,1,0.06,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,12,NA,64,87,836,1673,17,9,NA,NA,NA,NA,NA,NA,44,1
"404","DIOURBEL","Touba","DISTRICT",2015,3,105,0,0,72,33,72,33,5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,17,2,15,NA,NA,7,1,6,NA,NA,41,4,37,NA,NA,1,0,1,NA,NA,179,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,7,NA,NA,13,NA,NA,13,NA,NA,11,NA,NA,2,168,9,53,1,1,0,16,13,0,17,14,0,824976,227,0.46,280,0.64,116,86,0.74,2,0.02,2,0.02,4,0.03,16,0.14,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,16,NA,252,393,2122,3627,6,5,NA,NA,7,17,13,NA,179,0.846153846153846
"405","DIOURBEL","Bambey","DISTRICT",2015,4,53,1,0,37,15,38,15,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,21,1,20,NA,NA,3,3,0,NA,NA,7,1,6,NA,NA,1,0,1,NA,NA,87,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,81,3,23,0,0,0,2,0,0,2,0,0,319013,88,0.6,108,0.8,57,54,0.95,0,0,1,0.02,0,0,2,0.04,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,13,NA,97,2,372,737,7,5,NA,NA,13,NA,NA,NA,87,NA
"406","DIOURBEL","Diourbel","DISTRICT",2015,4,38,0,0,28,10,28,10,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,2,8,NA,NA,0,0,0,NA,NA,2,1,1,NA,NA,5,0,5,NA,NA,56,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,2,47,7,60,0,0,0,1,1,0,1,1,0,275991,76,0.5,94,0.6,42,40,0.95,0,0,1,0.02,1,0.02,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,0.98,0.278,NA,NA,5,NA,282,NA,1089,2178,1,2,NA,NA,27,NA,NA,NA,56,1
"407","DIOURBEL","Mbacké","DISTRICT",2015,4,31,0,0,23,8,23,8,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,0,4,NA,NA,0,0,0,NA,NA,5,1,4,NA,NA,0,0,0,NA,NA,43,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,1,43,3,14,1,0,0,5,4,0,6,4,0,156541,43,0.72,53,0.81,29,29,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,12,NA,64,87,836,1673,17,9,NA,NA,NA,NA,NA,NA,47,1
"408","DIOURBEL","Touba","DISTRICT",2015,4,130,0,1,88,41,88,42,9,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,28,2,26,NA,NA,11,5,6,NA,NA,40,7,33,NA,NA,6,0,6,NA,NA,227,15,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,22,NA,NA,37,NA,NA,37,NA,NA,37,NA,NA,10,209,18,63,0,0,0,10,9,0,10,9,0,824976,227,0.57,280,0.81,105,86,0.82,3,0.03,1,0.01,2,0.02,11,0.1,NA,NA,NA,NA,154,24,3,4761,NA,NA,230,29,NA,14,8,0.07,0,0.88,0.69,1,0.278,NA,NA,16,NA,252,393,2122,3627,6,5,NA,NA,7,17,13,NA,237,1
"409","FATICK","Diofior","DISTRICT",2015,1,6,0,0,4,2,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,6,2,4,0,0,0,0,0,0,0,0,0,78107,21,0.28,27,0.3,16,15,0.94,0,0,0,0,1,0.06,0,0,NA,NA,NA,NA,228,38,3,7381,NA,NA,125,16,NA,8,8,0.08,0,0.28,0.04,0.94,0.278,NA,NA,6,NA,16,5,490,981,1,2,NA,NA,60,NA,NA,NA,8,NA
